Property1,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
168,0.166666667,0,0,-14.77777778,2258.078333,335,8.833333333,1344.062896,0.173669577,0.020281294,0,2258.078333,0.111111111,3290,5.048052555,0.082844929,133.3333333,-15.04451378,10,0.771663475
108.4,0.2,0,0,2.72,2523,384,10,1664.585912,0.139223115,0.029008833,0,2523,0.16,3290,3.219960136,0.081330099,158,-15.57846865,80,0.840695106
255,0.28,0.04,0,-4.864,2316.4882,336.2,6.58,1533.002485,0.243771957,0.012422643,0.125622509,2316.4882,0.208,3290,3.721273344,0.071120436,171.8,-14.93679439,10,0.546801385
21.5,0.28,0.04,0,-4.864,2316.4882,336.2,6.58,1533.002485,0.417816358,0.012422643,0.125622509,2316.4882,0.208,3290,3.721273344,0.071120436,171.8,-14.85234748,10,0.922268296
88,0.28,0.04,0,-4.864,2316.4882,336.2,6.58,1533.002485,0.82175012,0.012422643,0.125622509,2316.4882,0.208,3290,3.721273344,0.071120436,171.8,-14.78335547,10,0.707329905
242.9,0.28,0,0,-4.4096,2360.7682,351.4,7.14,1575.666786,0.489648495,0.016020761,0,2360.7682,0.208,3290,3.533143233,0.069084424,173,-14.94908788,10,0.82388059
29.2,0.28,0,0,-4.4096,2360.7682,351.4,7.14,1575.666786,0.668943608,0.016020761,0,2360.7682,0.208,3290,3.533143233,0.069084424,173,-15.04235402,10,0.852075631
44.7,0.28,0,0,-4.4096,2360.7682,351.4,7.14,1575.666786,0.800679965,0.016020761,0,2360.7682,0.208,3290,3.533143233,0.069084424,173,-15.56476528,10,0.425791094
202.5,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.080576365,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.08265794,10,0.617407577
32.8,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.088727985,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-14.89575216,10,0.183229039
87.6,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.593845238,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.5826,10,0.929214406
269.2,0.319148936,0.042553191,0,-9.470348574,2199.539362,299.1489362,5.744680851,1180.033536,0.1933889,0.007141809,0.120365416,2199.539362,0.181077411,3290,4.073472841,0.067842233,168.0851064,-15.48423016,10,0.107219478
29.1,0.3,0.04,0,-8.6176,2264.967,326.8,6.54,1143.666674,0.214883976,0.005311917,0.118543491,2264.967,0.16,3290,4.131196346,0.06585749,162.8,-15.01774207,10,0.540033209
105.3,0.3,0.04,0,-8.6176,2264.967,326.8,6.54,1143.666674,0.345596332,0.005311917,0.118543491,2264.967,0.16,3290,4.131196346,0.06585749,162.8,-14.63331461,10,0.640715766
279.8,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.080238243,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.214454,10,0.997352016
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.654607149,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-14.65155017,10,0.28174754
223.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.436615242,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.34717813,10,0.474617217
186.9,0.3,0,0,-15.12,2135.794,281,5.6,656.3201755,0.694920165,-0.003719723,0,2135.794,0.18,3290,4.331384053,0.052439149,145,-14.95575032,10,0.120608554
58.8,0.3,0,0,-15.12,2135.794,281,5.6,656.3201755,0.980912797,-0.003719723,0,2135.794,0.18,3290,4.331384053,0.052439149,145,-14.60864575,10,0.353382457
106.3,0.3,0,0,-15.12,2135.794,281,5.6,656.3201755,0.184309396,-0.003719723,0,2135.794,0.18,3290,4.331384053,0.052439149,145,-15.3471986,10,0.315288845
202.5,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.180499034,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.52749912,10,0.23942196
9.8,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.120456924,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.02435653,10,0.300569234
32.8,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.557519075,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.20227434,10,0.680500004
87.6,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.583294719,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.29205591,10,0.245979852
279.8,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.800961053,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-14.62849929,10,0.225215725
35,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.576431534,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.4622332,10,0.829913788
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.290215941,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.04472976,10,0.056188472
223.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.907966684,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.56028877,10,0.062993111
232.4,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.247172898,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-14.80309139,10,0.425300189
215,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.880309892,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-15.47814182,10,0.875413373
15.6,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.072347506,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-14.71479483,10,0.821214028
77.2,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.941541916,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-15.11782417,10,0.231746807
161.3,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.789591728,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-15.52508888,10,0.214856703
230.6,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.182533057,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-14.96705777,10,0.799261793
7.1,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.318446029,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-15.48806148,10,0.67928675
113.5,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.83543221,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-14.80469427,10,0.512664546
178.2,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.587353879,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-15.48019525,10,0.000333715
290.1,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.350507722,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-15.26147467,10,0.800088967
12.8,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.515121868,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-15.36819479,10,0.88452059
165.5,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.152908524,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-14.97736525,10,0.774381914
233.8,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.692352796,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-14.84111775,10,0.554015751
269.2,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.08192297,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-14.793006,10,0.136225822
11.3,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.931974978,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-15.57378974,10,0.121177227
149.4,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.844037757,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-15.00939292,10,0.104956378
176.3,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.101406211,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-15.04074742,10,0.789181489
181.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.007360456,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.9149189,10,0.023952104
20,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.502331138,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.41234506,10,0.088304083
101.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.514764102,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.81581747,10,0.197971216
141.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.446593525,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.91066325,10,0.829058775
16,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.628260046,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.44115484,10,0.672478392
90.5,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.859199443,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.43239165,10,0.317842905
131,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.515576482,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.3348909,10,0.138921211
161.4,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.027686401,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.47788133,10,0.457951945
164.5,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.197002075,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.49765641,10,0.733741998
22.8,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.269908305,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-14.7880545,10,0.858039467
83.8,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.060519819,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-14.77949349,10,0.257313672
133.2,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.302846025,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.26335598,10,0.582861467
141.6,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.046288675,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.23565504,10,0.930555055
16.7,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.920232655,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-14.87205186,10,0.467905108
62.7,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.597896618,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-15.20311326,10,0.461951764
146.3,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.203157074,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-14.91376539,10,0.005097058
170.5,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.835611079,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-14.99104906,10,0.461691209
178.9,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.652154148,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-15.06165144,10,0.259871593
31,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.458838786,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-15.36572746,10,0.64228706
83.6,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.633247757,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-15.55112686,10,0.653886922
77.4,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.384779536,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-14.75989912,10,0.766262848
80.5,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.736003691,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-14.74797775,10,0.194451139
279.8,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.790874962,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.05101594,10,0.276685603
35,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.365083783,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.0033896,10,0.659078545
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.365066084,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.1699127,10,0.013407384
223.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.366866342,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-14.71089428,10,0.584748398
261.6,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.552003465,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.34863199,10,0.105855062
185.6,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.414159205,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.78323946,10,0.901118528
28.7,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.773563595,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.29893857,10,0.418526584
124.6,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.818770747,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.42986307,10,0.473464284
147.4,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.368660517,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.21752763,10,0.816279451
181.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.749239817,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.23024215,10,0.579428634
101.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.753191272,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.66688135,10,0.519398241
141.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.352028185,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.61959765,10,0.361012941
260.4,0.2,0.2,0,-17.44,1987.094,256,4.2,1750.73754,0.306729451,-0.011416196,0.101812555,1987.094,0.16,2750,5.446519663,0.071441968,134,-14.63495207,10,0.568151921
